fid,org,N,mean_brier,mean_brier_ref,edge,mean_abs_dev_from_ref,N_real,mean_brier_real,edge_real,brier_rank,edge_rank,beta_ref,beta_fc,se_fc,fc_rank
Mistral AI.mistral_large_zero_shot,ForecastBench,567,0.20386731746031747,0.06944069700619854,-0.13442662045411893,0.2677681447825397,567,0.20386731746031747,-0.13442662045411893,78,78,1.3674347060256382,-0.10461211205103804,0.15522299722029806,56.0
Mistral AI.mistral_large_zero_shot_with_freeze_values,ForecastBench,567,0.16242131964339795,0.06944069700619854,-0.09298062263719944,0.15462188617724867,567,0.16242131964339795,-0.09298062263719944,34,34,1.5609313483838632,-0.33034764512254366,0.16018794926498733,101.0
OpenAI.gpt_3p5_turbo_0125_scratchpad,ForecastBench,567,0.28111552028218695,0.06944069700619854,-0.2116748232759884,0.38751952822451496,567,0.28111552028218695,-0.2116748232759884,125,125,1.3293649016321507,0.15636128001834396,0.2555347685416084,5.0
OpenAI.gpt_3p5_turbo_0125_scratchpad_with_freeze_values,ForecastBench,567,0.276831746031746,0.06944069700619854,-0.2073910490255475,0.37548830561358026,567,0.276831746031746,-0.2073910490255475,124,124,1.3379901207518141,-0.1163810464941512,0.2763105115990067,59.0
OpenAI.gpt_3p5_turbo_0125_zero_shot,ForecastBench,567,0.33832486948853613,0.06944069700619854,-0.2688841724823376,0.41311164290317465,567,0.33832486948853613,-0.2688841724823376,130,130,1.3119751908778716,0.0758436874720537,0.21440424565717503,12.0
OpenAI.gpt_3p5_turbo_0125_zero_shot_with_freeze_values,ForecastBench,567,0.25290220699873134,0.06944069700619854,-0.18346150999253283,0.26290440116243385,567,0.25290220699873134,-0.18346150999253283,117,117,1.353896162567899,-0.034849949723376385,0.1220921755738572,38.0
OpenAI.gpt_4_scratchpad,ForecastBench,567,0.1626100564373898,0.06944069700619854,-0.09316935943119124,0.23950821021640212,560,0.16151768214285717,-0.09125490076559899,35,35,1.2530314673507867,0.2809583693547991,0.21928832109396926,3.0
OpenAI.gpt_4_scratchpad_with_freeze_values,ForecastBench,567,0.13936418757208532,0.06944069700619854,-0.06992349056588679,0.14054790361093475,558,0.13757973898453832,-0.06711592730232603,13,13,1.4253792206394762,-0.15483752634480255,0.11750006585246826,71.0
OpenAI.gpt_4_turbo_0409_scratchpad,ForecastBench,567,0.1510701058201058,0.06944069700619854,-0.0816294088139073,0.21244561170564374,562,0.15018994661921706,-0.08017713832515203,23,23,1.3006556190728433,0.09703705057179705,0.2083055014185391,10.0
OpenAI.gpt_4_turbo_0409_scratchpad_with_freeze_values,ForecastBench,567,0.11269696306749352,0.06944069700619854,-0.043256266061295005,0.08937052982839506,562,0.11147540579941072,-0.041462666348762035,2,2,1.4704438008006773,-0.16670803429896155,0.1933421862705945,73.0
OpenAI.gpt_4_turbo_0409_scratchpad_with_news,ForecastBench,567,0.14469710890652557,0.06944069700619854,-0.07525641190032704,0.20321692648906525,562,0.14376025044483987,-0.07374744215077479,15,15,1.271606436414996,0.16804540727076386,0.1991986991105284,4.0
